"County Name","Party","Count"
"CUMBERLAND","NE","2"
"CUMBERLAND","NF","5,847"
"CUMBERLAND","NO","49"
"CUMBERLAND","NON","83"
"CUMBERLAND","NOP","695"
"CUMBERLAND","NTS","2"
"CUMBERLAND","OP","1"
"CUMBERLAND","OTH","164"
"CUMBERLAND","PF","1"
"CUMBERLAND","PP","1"
"CUMBERLAND","PPP","1"
"CUMBERLAND","R","20,959"
"CUMBERLAND","RL","1"
"CUMBERLAND","S","3"
"CUMBERLAND","TP","1"
"CUMBERLAND","UND","2"
"CUMBERLAND","WFP","1"
"CUMBERLAND",,"10"
"DAUPHIN","AD","1"
"DAUPHIN","AM","1"
"DAUPHIN","ASP","1"
"DAUPHIN","BM","1"
"DAUPHIN","C","1"
"DAUPHIN","CFED","1"
"DAUPHIN","CH","2"
"DAUPHIN","CL","1"
"DAUPHIN","CS","1"
"DAUPHIN","CT","6"
"DAUPHIN","D","39,379"
"DAUPHIN","FR","1"
"DAUPHIN","GR","70"
"DAUPHIN","I","696"
"DAUPHIN","IND","4"
"DAUPHIN","INDE","12"
"DAUPHIN","IR","2"
"DAUPHIN","LI","3"
"DAUPHIN","LN","210"
"DAUPHIN","M","1"
"DAUPHIN","N","2"
"DAUPHIN","NE","3"
"DAUPHIN","NF","5,774"
"DAUPHIN","NO","148"
"DAUPHIN","NON","88"
"DAUPHIN","NOP","694"
"DAUPHIN","NOPA","1"
"DAUPHIN","NPA","1"
"DAUPHIN","NTS","2"
"DAUPHIN","OTH","218"
"DAUPHIN","PP","1"
"DAUPHIN","R","17,347"
"DAUPHIN","RL","1"
"DAUPHIN","S","1"
"DAUPHIN","UDC","1"
"DAUPHIN","UND","7"
"DAUPHIN",,"9"
"DELAWARE","AC","3"
"DELAWARE","AD","4"
"DELAWARE","AM","2"
"DELAWARE","ASP","2"
"DELAWARE","BP","1"
"DELAWARE","C","3"
"DELAWARE","CNT","1"
"DELAWARE","CT","6"
"DELAWARE","D","95,235"
"DELAWARE","DR","1"
"DELAWARE","DS","2"
"DELAWARE","DTS","1"
"DELAWARE","GD","1"
"DELAWARE","GP","4"
"DELAWARE","GPUS","1"
"DELAWARE","GR","125"
"DELAWARE","I","1,155"
"DELAWARE","ID","5"
"DELAWARE","IDK","1"
"DELAWARE","IND","12"
"DELAWARE","INDd","1"
"DELAWARE","INDE","46"
"DELAWARE","IT","1"
"DELAWARE","ITENT","1"
"DELAWARE","LI","10"
"DELAWARE","LN","353"
"DELAWARE","LNS","1"
"DELAWARE","M","2"
"DELAWARE","N","16"
"DELAWARE","NF","11,750"
"DELAWARE","NO","213"
"DELAWARE","NODE","2"
"DELAWARE","NON","807"
"DELAWARE","NOP","2,766"
"DELAWARE","NTS","6"
"DELAWARE","OP","2"
"DELAWARE","OTH","430"
"DELAWARE","PP","2"
"DELAWARE","PR","1"
"DELAWARE","R","37,388"
"DELAWARE","RF","1"
"DELAWARE","S","1"
"DELAWARE","UNA","19"
"DELAWARE","UNC","1"
"DELAWARE","UND","8"
"DELAWARE","UNI","1"
"DELAWARE","UNK","9"
"DELAWARE","UNS","2"
"DELAWARE","WH","1"
"DELAWARE",,"279"
"ELK","AI","1"
"ELK","ASP","1"
"ELK","C","1"
"ELK","D","2,428"
"ELK","GR","2"
"ELK","I","40"
"ELK","IND","2"
"ELK","INDE","2"
"ELK","LN","12"
"ELK","M","1"
"ELK","NF","213"
"ELK","NO","2"
"ELK","NON","3"
"ELK","NOP","60"
"ELK","OTH","12"
"ELK","R","1,712"
"ELK",,"1"
"ERIE","ASP","1"
"ERIE","C","5"
"ERIE","CH","1"
"ERIE","CL","3"
"ERIE","CON","1"
"ERIE","CT","1"
"ERIE","D","37,280"
"ERIE","DS","1"
"ERIE","GP","1"
"ERIE","GR","53"
"ERIE","I","664"
"ERIE","ID","3"
"ERIE","IND","1"
"ERIE","INDE","12"
"ERIE","IR","3"
"ERIE","LD","1"
"ERIE","LI","3"
"ERIE","LN","186"
"ERIE","M","1"
"ERIE","NF","3,563"
"ERIE","NO","555"
"ERIE","NON","68"
"ERIE","NOP","10"
"ERIE","OTH","143"
"ERIE","R","14,181"
"ERIE","SPL","1"
"ERIE","T","1"
"ERIE","THR","1"
"ERIE","TRP","1"
"ERIE","UNK","1"
"ERIE","WH","1"
"ERIE",,"59"
"FAYETTE","ANY","1"
"FAYETTE","C","2"
"FAYETTE","CNT","1"
"FAYETTE","CT","1"
"FAYETTE","D","13,393"
"FAYETTE","GR","15"
"FAYETTE","I","169"
"FAYETTE","ID","1"
"FAYETTE","IND","5"
"FAYETTE","INDE","4"
"FAYETTE","JAP","1"
"FAYETTE","LN","60"
"FAYETTE","NF","917"
"FAYETTE","NO","101"
"FAYETTE","NON","6"
"FAYETTE","NOP","4"
"FAYETTE","NOPA","1"
"FAYETTE","OTH","37"
"FAYETTE","PL","1"
"FAYETTE","PP","1"
"FAYETTE","R","5,210"
"FAYETTE","RF","1"
"FAYETTE","TRP","1"
"FAYETTE",,"2"
"FOREST","CM","1"
"FOREST","D","423"
"FOREST","I","13"
"FOREST","IND","1"
"FOREST","IR","1"
"FOREST","LN","2"
"FOREST","NF","34"
"FOREST","NO","5"
"FOREST","OTH","2"
"FOREST","R","358"
"FOREST",,"2"
"FRANKLIN","ASP","2"
"FRANKLIN","BM","1"
"FRANKLIN","C","1"
"FRANKLIN","CL","1"
"FRANKLIN","CTT","1"
"FRANKLIN","D","10,951"
"FRANKLIN","GR","26"
"FRANKLIN","I","354"
"FRANKLIN","IND","6"
"FRANKLIN","INDE","4"
"FRANKLIN","IR","1"
"FRANKLIN","LN","89"
"FRANKLIN","NE","1"
"FRANKLIN","NF","2,296"
"FRANKLIN","NO","9"
"FRANKLIN","NON","128"
"FRANKLIN","NOP","43"
"FRANKLIN","NTS","1"
"FRANKLIN","OP","3"
"FRANKLIN","OTH","90"
"FRANKLIN","PO","1"
"FRANKLIN","PP","1"
"FRANKLIN","R","10,580"
"FRANKLIN","UNA","2"
"FRANKLIN","UND","1"
"FRANKLIN",,"1"
"FULTON","D","511"
"FULTON","I","25"
"FULTON","LN","7"
"FULTON","NF","81"
"FULTON","NO","2"
"FULTON","NON","4"
"FULTON","OTH","10"
"FULTON","R","789"
"GREENE","CL","1"
"GREENE","D","3,294"
"GREENE","GR","5"
"GREENE","I","54"
"GREENE","IND","1"
"GREENE","LN","15"
"GREENE","NF","186"
"GREENE","NO","10"
"GREENE","NON","5"
"GREENE","NOP","14"
"GREENE","OTH","11"
