"Year","County FIPS Code","County Name","Gross Domestic Product ($1,000)","GDP Unit of Measure"
"2020","42039","Crawford, PA","$2,940,983","Thousands of dollars"
"2020","42041","Cumberland, PA","$17,088,856","Thousands of dollars"
"2020","42043","Dauphin, PA","$22,959,132","Thousands of dollars"
"2020","42045","Delaware, PA","$33,524,025","Thousands of dollars"
"2020","42047","Elk, PA","$1,429,576","Thousands of dollars"
"2020","42049","Erie, PA","$11,748,759","Thousands of dollars"
"2020","42051","Fayette, PA","$4,433,867","Thousands of dollars"
"2020","42053","Forest, PA","$249,222","Thousands of dollars"
"2020","42055","Franklin, PA","$6,356,985","Thousands of dollars"
"2020","42057","Fulton, PA","$675,623","Thousands of dollars"
"2020","42059","Greene, PA","$2,597,984","Thousands of dollars"
"2020","42061","Huntingdon, PA","$1,324,797","Thousands of dollars"
"2020","42063","Indiana, PA","$3,849,215","Thousands of dollars"
"2020","42065","Jefferson, PA","$1,511,046","Thousands of dollars"
"2020","42067","Juniata, PA","$763,747","Thousands of dollars"
"2020","42069","Lackawanna, PA","$10,411,118","Thousands of dollars"
"2020","42071","Lancaster, PA","$30,174,812","Thousands of dollars"
"2020","42073","Lawrence, PA","$3,305,737","Thousands of dollars"
"2020","42075","Lebanon, PA","$6,033,431","Thousands of dollars"
"2020","42077","Lehigh, PA","$24,363,156","Thousands of dollars"
"2020","42079","Luzerne, PA","$15,571,039","Thousands of dollars"
"2020","42081","Lycoming, PA","$5,804,545","Thousands of dollars"
"2020","42083","McKean, PA","$1,462,411","Thousands of dollars"
"2020","42085","Mercer, PA","$4,267,648","Thousands of dollars"
"2020","42087","Mifflin, PA","$1,743,582","Thousands of dollars"
"2020","42089","Monroe, PA","$7,266,452","Thousands of dollars"
"2020","42091","Montgomery, PA","$85,110,390","Thousands of dollars"
"2020","42093","Montour, PA","$1,995,526","Thousands of dollars"
"2020","42095","Northampton, PA","$16,028,530","Thousands of dollars"
"2020","42097","Northumberland, PA","$3,382,306","Thousands of dollars"
"2020","42099","Perry, PA","$1,081,330","Thousands of dollars"
"2020","42101","Philadelphia, PA","$107,312,408","Thousands of dollars"
"2020","42103","Pike, PA","$1,526,908","Thousands of dollars"
"2020","42105","Potter, PA","$911,584","Thousands of dollars"
"2020","42107","Schuylkill, PA","$5,027,149","Thousands of dollars"
"2020","42109","Snyder, PA","$1,556,663","Thousands of dollars"
"2020","42111","Somerset, PA","$2,427,159","Thousands of dollars"
"2020","42113","Sullivan, PA","$236,296","Thousands of dollars"
"2020","42115","Susquehanna, PA","$1,935,713","Thousands of dollars"
"2020","42117","Tioga, PA","$1,472,547","Thousands of dollars"
"2020","42119","Union, PA","$1,916,612","Thousands of dollars"
"2020","42121","Venango, PA","$1,716,134","Thousands of dollars"
"2020","42123","Warren, PA","$1,353,174","Thousands of dollars"
"2020","42125","Washington, PA","$12,411,111","Thousands of dollars"
"2020","42127","Wayne, PA","$2,014,195","Thousands of dollars"
"2020","42129","Westmoreland, PA","$14,914,842","Thousands of dollars"
